directory,filename,project_directory,%_count,&_count,*_count,-_count,/_count,<_count,=_count,>_count,answer_count,append:toList:_count,bounceOffEdge_count,broadcast:_count,broadcasts_sent_to_received,call_count,changeGraphicEffect:by:_count,changeSizeBy:_count,changeVar:by:_count,changeVolumeBy:_count,changeXposBy:_count,changeYposBy:_count,clearPenTrails_count,comeToFront_count,concatenate:with:_count,costumeIndex_count,deleteLine:ofList:_count,doAsk_count,doBroadcastAndWait_count,doForever_count,doIfElse_count,doIf_count,doPlaySoundAndWait_count,doRepeat_count,doUntil_count,doWaitUntil_count,forward:_count,getAttribute:of:_count,getUserName_count,glideSecs:toX:y:elapsed:from:_count,goBackByLayers:_count,gotoSpriteOrMouse:_count,gotoX:y:_count,green_flag_to_total_scripts,heading:_count,heading_count,hideList:_count,hideVariable:_count,hide_count,lookLike:_count,mousePressed_count,mouseX_count,mouseY_count,nextCostume_count,nextScene_count,not_count,penColor:_count,penSize:_count,playSound:_count,pointTowards:_count,procDef_count,putPenDown_count,putPenUp_count,readVariable_count,say:_count,say:duration:elapsed:from:_count,scripts_with_whenGreenFlag,setGraphicEffect:to:_count,setRotationStyle_count,setSizeTo:_count,setVar:to:_count,setVolumeTo:_count,showList:_count,showVariable:_count,show_count,stampCostume_count,startSceneAndWait_count,startScene_count,stopAllSounds_count,stopScripts_count,think:_count,think:duration:elapsed:from:_count,total_scripts,touching:_count,touchingColor:_count,turnLeft:_count,turnRight:_count,wait:elapsed:from:_count,whenClicked_count,whenGreenFlag_count,whenIReceive_count,whenKeyPressed_count,whenSceneStarts_count,when_blocks,xpos:_count,yourself_count,ypos:_count,ypos_count
data/Scratch_Conf_data/Poptart Land,Poptart Land (early).sb2,Poptart Land,,,,,,,,,,,1,1,0.3333333333333333,,,,4,,1,,,,,,,,,9,3,13,1,,,,,,,2,,,4,0.7647058823529411,,,,,8,,,,,,,2,,,1,,,,,15,,1,13,,,,14,,,,6,,,3,,,,,17,,,,,1,,13,3,1,,17,1,,4,3
data/Scratch_Conf_data/scratch assessment,test1.sb2,scratch assessment,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,
data/Scratch_Conf_data/scratch assessment,test10.sb2,scratch assessment,,,,,,,,,,,,1,1.0,,,1,,,,,,,,,,,,,,,,2,,,5,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,4,,,,,,,,,,,1,,2,,,,1,2,,1,1,,,2,,,,
data/Scratch_Conf_data/scratch assessment,test2.sb2,scratch assessment,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,
data/Scratch_Conf_data/scratch assessment,test3.sb2,scratch assessment,,,,,,,,,,,,,nan,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,
data/Scratch_Conf_data/scratch assessment,test4.sb2,scratch assessment,,,,,,,,,,,,,nan,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,1,,,,1,2,,1,,,,1,,,,
data/Scratch_Conf_data/scratch assessment,test5.sb2,scratch assessment,,,,,,,,,,,,,nan,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,1,,,,1,,,1,,,,1,,,,
data/Scratch_Conf_data/scratch assessment,test6.sb2,scratch assessment,,,,,,,,,,,,1,1.0,,,1,,,,,,,,,,,,,,,,2,,,4,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,2,,,,1,,,1,1,,,2,,,,
data/Scratch_Conf_data/scratch assessment,test7.sb2,scratch assessment,,,,,,,,,,,,1,1.0,,,1,,,,,,,,,,,,,,,,2,,,5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,2,,,,1,2,,1,1,,,2,,,,
data/Scratch_Conf_data/scratch assessment,test8.sb2,scratch assessment,,,,,,,,,,,,1,1.0,,,1,,,,,,,,,,,,,,,,2,,,5,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,2,,,,1,2,,1,1,,,2,,,,
data/Scratch_Conf_data/scratch assessment,test9.sb2,scratch assessment,,,,,,,,,,,,1,1.0,,,2,,,,,,,,,,,,,,,,2,,,5,,,,,,1,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,1,,3,,,,1,2,,1,1,,,2,,,,
data/Scratch_Conf_data/simon,1.sb2,simon,,,,,,,,,,,,,nan,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,1,0.0,,,,,,,,,,,,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,,1,,,,1,,,,,,,0,,,,
data/Scratch_Conf_data/simon,2.sb2,simon,,,,,,,,,,,,,nan,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,1,0.0,,,,,1,,,,,,,,,,,,,1,1,,,,0,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,0,,,,
data/Scratch_Conf_data/simon,3.sb2,simon,,,,,,,,,,,,,nan,,,,,,,,1,,,,,,,,,,,2,,,1,,,,,,1,0.0,,,,,1,,,,,,,,,,,,,1,1,,,,0,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,0,,,,
data/Scratch_Conf_data/simon,4.sb2,simon,,,,,,,,,,,,1,1.0,,,,,,,,1,,,,,,,,,,,2,,,1,,,,,,1,0.0,,,,,1,,,,,,,,1,,,,,1,1,,,,0,,,,1,,,,,,,,,,,,2,,,,2,,1,,1,,,2,,,,
data/Scratch_Conf_data/simon,5.sb2,simon,,,,,,,,,,,,2,1.0,,,,,,,,2,,,,,,,,,,,4,,,2,,,,,,2,0.0,,,,,2,,,,,,,,2,,,,,2,2,,,,0,,,,2,,,,,,,,,,,,4,,,,4,,2,,2,,,4,,,,
data/Scratch_Conf_data/simon,6.sb2,simon,,,,,,,,,,,,2,1.0,,,,,,,,3,,,,,,,,,,,4,,,2,,,,,,2,0.0,,,,,2,,,,,,,,2,,,,,2,2,,,,0,,,,2,,,,,,,,,,,,5,,,,4,,2,,2,,,4,,,,
data/Scratch_Conf_data/steve,scrat2moon1.sb2,steve,,,,,,,,,1,,1,,0.0,,,,1,,,,,1,,,,1,,11,,13,,,,1,1,,,28,,1,2,0.46153846153846156,,,,,4,11,,,,2,,,,,,1,,,,12,,,12,,,,2,,,,4,,,,,,,,26,,,2,,5,,12,1,,,13,,,,
data/Scratch_Conf_data/steve,scrat2moon2.sb2,steve,,,,,,,,,1,,1,,0.0,,,,1,,,,,1,,,,1,,11,,13,,,,1,1,,,28,,1,2,0.46153846153846156,,,,,4,11,,,,2,,,,,,1,,,,12,,,12,,,,2,,,,4,,,,,,,,26,,,2,,5,,12,1,,,13,,,,
